AB de Villiers#AR Patel,0.391304347826087,0.8695652173913044,1.0,1.0,1.0,1.0,0.0
AB de Villiers#HV Patel,0.23809523809523808,0.5238095238095237,0.619047619047619,0.619047619047619,0.857142857142857,1.0,0.0
AB de Villiers#KH Pandya,0.3333333333333333,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.9333333333333332,1.0,0.11764705882352941
AB de Villiers#MM Sharma,0.18518518518518517,0.4444444444444444,0.6296296296296295,0.6296296296296295,0.7777777777777777,1.0,0.0
AB de Villiers#RA Jadeja,0.375,0.825,0.825,0.825,0.8999999999999999,1.0,0.0
AB de Villiers#Sandeep Sharma,0.2857142857142857,0.5714285714285714,0.6285714285714286,0.6285714285714286,0.8571428571428571,1.0,0.05405405405405406
AB de Villiers#S Gopal,0.3684210526315789,0.894736842105263,0.9473684210526314,0.9999999999999998,0.9999999999999998,1.0,0.09523809523809523
AB de Villiers#Shakib Al Hasan,0.27586206896551724,0.7241379310344828,0.7931034482758621,0.7931034482758621,0.9310344827586208,1.0,0.0
AJ Finch#KH Pandya,0.34782608695652173,0.8260869565217391,0.9130434782608696,0.9130434782608696,1.0,1.0,0.0
AJ Finch#YS Chahal,0.41935483870967744,0.8709677419354839,0.9032258064516129,0.9032258064516129,0.9354838709677419,1.0,0.0
AM Rahane#AD Russell,0.44,0.72,0.9199999999999999,0.9199999999999999,0.96,1.0,0.038461538461538464
AM Rahane#HH Pandya,0.08695652173913043,0.5652173913043479,0.6521739130434783,0.6521739130434783,0.8695652173913043,1.0,0.041666666666666664
AM Rahane#JJ Bumrah,0.3548387096774194,0.7741935483870968,0.8064516129032258,0.8709677419354838,0.9999999999999999,1.0,0.0
AM Rahane#KH Pandya,0.2564102564102564,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.9743589743589743,1.0,0.0
AM Rahane#Kuldeep Yadav,0.47368421052631576,0.894736842105263,0.9473684210526314,0.9473684210526314,0.9999999999999998,1.0,0.09523809523809523
AM Rahane#KV Sharma,0.3181818181818182,0.7272727272727273,0.8636363636363636,0.8636363636363636,1.0,1.0,0.08333333333333333
AM Rahane#MJ McClenaghan,0.4897959183673469,0.6938775510204082,0.7551020408163265,0.7551020408163265,0.9591836734693877,1.0,0.0392156862745098
AM Rahane#Mohammed Shami,0.3076923076923077,0.6153846153846154,0.6538461538461539,0.6538461538461539,0.9615384615384616,1.0,0.0
AM Rahane#PP Chawla,0.23529411764705882,0.7647058823529411,0.8235294117647058,0.8529411764705882,0.9705882352941176,1.0,0.0
AM Rahane#Sandeep Sharma,0.525,0.8500000000000001,0.9000000000000001,0.9000000000000001,1.0000000000000002,1.0,0.047619047619047616
AM Rahane#SP Narine,0.3333333333333333,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.9999999999999999,1.0,0.06896551724137931
AM Rahane#TG Southee,0.35,0.8,0.8,0.8500000000000001,0.9500000000000001,1.0,0.047619047619047616
AM Rahane#UT Yadav,0.4444444444444444,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.9629629629629628,1.0,0.06896551724137931
AT Rayudu#B Kumar,0.43333333333333335,0.8,0.8333333333333334,0.8333333333333334,0.8666666666666667,1.0,0.0
AT Rayudu#Rashid Khan,0.45454545454545453,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.9393939393939393,1.0,0.0
AT Rayudu#Shakib Al Hasan,0.27586206896551724,0.6551724137931034,0.689655172413793,0.689655172413793,0.8620689655172413,1.0,0.06451612903225806
AT Rayudu#S Kaul,0.19047619047619047,0.6666666666666666,0.7142857142857142,0.7142857142857142,0.9047619047619047,1.0,0.08695652173913043
AT Rayudu#SP Narine,0.3333333333333333,0.8095238095238095,0.8095238095238095,0.8095238095238095,1.0,1.0,0.045454545454545456
AT Rayudu#UT Yadav,0.39285714285714285,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8928571428571428,1.0,0.034482758620689655
AT Rayudu#YS Chahal,0.5161290322580645,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,1.0,0.0
BB McCullum#JJ Bumrah,0.5,0.7272727272727273,0.7727272727272727,0.7727272727272727,0.9545454545454546,1.0,0.043478260869565216
BB McCullum#KH Pandya,0.375,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.9583333333333334,1.0,0.0
BB McCullum#PP Chawla,0.5416666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.9166666666666666,1.0,0.04
CA Lynn#MJ McClenaghan,0.5,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.9642857142857143,1.0,0.034482758620689655
CA Lynn#Shakib Al Hasan,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,0.043478260869565216
CA Lynn#S Kaul,0.44,0.6,0.64,0.64,0.88,1.0,0.038461538461538464
CA Lynn#YS Chahal,0.4375,0.625,0.71875,0.71875,0.90625,1.0,0.030303030303030304
CH Gayle#AD Russell,0.52,0.68,0.68,0.68,0.8,1.0,0.038461538461538464
CH Gayle#B Kumar,0.5,0.7857142857142857,0.8928571428571428,0.8928571428571428,0.9285714285714285,1.0,0.034482758620689655
CH Gayle#Harbhajan Singh,0.5357142857142857,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9285714285714285,1.0,0.0
CH Gayle#MJ McClenaghan,0.47619047619047616,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.9523809523809523,1.0,0.045454545454545456
DA Miller#A Mishra,0.3181818181818182,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9545454545454545,1.0,0.043478260869565216
