ball,1,9.5,Sunrisers Hyderabad,MC Henriques,S Dhawan,A Choudhary,1,0
ball,1,9.6,Sunrisers Hyderabad,S Dhawan,MC Henriques,A Choudhary,0,0
ball,1,10.1,Sunrisers Hyderabad,MC Henriques,S Dhawan,STR Binny,1,0
ball,1,10.2,Sunrisers Hyderabad,S Dhawan,MC Henriques,STR Binny,4,0
ball,1,10.3,Sunrisers Hyderabad,S Dhawan,MC Henriques,STR Binny,0,0,caught,S Dhawan
ball,1,10.4,Sunrisers Hyderabad,MC Henriques,Yuvraj Singh,STR Binny,1,0
ball,1,10.5,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,STR Binny,2,0
ball,1,10.6,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,STR Binny,2,0
ball,1,11.1,Sunrisers Hyderabad,MC Henriques,Yuvraj Singh,S Aravind,1,0
ball,1,11.2,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,S Aravind,0,0
ball,1,11.3,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,S Aravind,1,0
ball,1,11.4,Sunrisers Hyderabad,MC Henriques,Yuvraj Singh,S Aravind,1,0
ball,1,11.5,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,S Aravind,4,0
ball,1,11.6,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,S Aravind,1,0
ball,1,12.1,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,A Choudhary,4,0
ball,1,12.2,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,A Choudhary,6,0
ball,1,12.3,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,A Choudhary,4,0
ball,1,12.4,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,A Choudhary,0,0
ball,1,12.5,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,A Choudhary,0,1
ball,1,12.6,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,A Choudhary,2,0
ball,1,12.7,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,A Choudhary,1,0
ball,1,13.1,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,SR Watson,4,0
ball,1,13.2,Sunrisers Hyderabad,Yuvraj Singh,MC Henriques,SR Watson,1,0
